class	identity	length	posX	posY	dirX	dirY	endToEnd	cosinus	organizer	cluster
1	84	0.25	1.0	1.218	-1.0	-0.017	0.25	1.0	0	1
1	85	0.25	0.859	1.268	-0.819	-0.574	0.25	1.0	0	1
1	86	0.25	1.372	1.051	0.873	-0.488	0.25	1.0	0	1
1	87	0.25	-1.328	-1.717	0.328	0.945	0.25	1.0	0	3
1	88	0.25	1.41	0.923	-0.94	-0.341	0.25	1.0	0	1
1	89	0.25	0.972	1.231	-0.953	-0.302	0.25	1.0	0	1
1	90	0.25	2.136	2.205	0.032	-0.999	0.25	1.0	0	7
1	91	0.25	0.989	-2.234	-0.95	-0.312	0.25	1.0	0	15
1	92	0.25	1.708	-0.84	0.275	0.961	0.25	1.0	0	14
1	93	0.25	0.831	1.161	0.82	0.573	0.25	1.0	0	1
1	94	0.25	0.745	1.135	0.98	0.197	0.25	1.0	0	1
1	95	0.25	-2.006	2.305	0.656	-0.755	0.25	1.0	0	9
1	96	0.25	0.505	1.453	0.206	0.979	0.25	1.0	0	1
1	97	0.25	2.01	-1.685	-0.975	0.221	0.25	1.0	0	5
1	98	0.25	-0.304	-0.748	0.906	-0.423	0.25	1.0	0	37
1	99	0.25	0.759	1.2	0.623	-0.782	0.25	1.0	0	1
1	100	0.25	-2.195	-1.387	-0.278	0.961	0.25	1.0	0	0
1	101	0.25	2.246	1.662	0.536	-0.844	0.25	1.0	0	38
1	102	0.25	-2.403	-1.643	-0.411	-0.912	0.25	1.0	0	0
1	103	0.25	2.226	-1.862	-0.745	0.667	0.25	1.0	0	5
1	104	0.25	1.011	1.366	-0.88	-0.474	0.25	1.0	0	1
1	105	0.25	0.013	1.251	0.996	-0.094	0.25	1.0	0	10
1	106	0.25	1.767	-0.105	-0.994	-0.107	0.25	1.0	0	32
1	107	0.25	0.797	2.101	0.627	0.779	0.25	1.0	0	12
1	108	0.25	0.939	1.141	-0.444	0.896	0.25	1.0	0	1
1	109	0.25	-2.182	-1.353	-0.534	-0.846	0.25	1.0	0	0
1	110	0.25	-0.863	-0.722	-0.516	0.856	0.25	1.0	0	37
1	111	0.25	0.94	0.355	0.622	0.783	0.25	1.0	0	2
1	112	0.25	1.692	0.736	-0.856	-0.517	0.25	1.0	0	26
1	113	0.25	1.011	1.24	-0.971	-0.241	0.25	1.0	0	1
1	114	0.25	-0.473	1.944	0.544	0.839	0.25	1.0	0	39
1	115	0.25	1.923	0.342	0.606	-0.796	0.25	1.0	0	26
1	116	0.25	0.914	1.345	0.582	-0.813	0.25	1.0	0	1
1	117	0.25	-2.225	-1.394	0.024	-1.0	0.25	1.0	0	0
1	118	0.25	-2.282	2.006	0.222	0.975	0.25	1.0	0	28
1	119	0.25	-0.069	-1.762	-0.86	-0.51	0.25	1.0	0	11
1	120	0.25	0.733	1.166	0.997	0.076	0.25	1.0	0	1
1	121	0.25	-2.283	1.976	-0.958	0.286	0.25	1.0	0	28
1	122	0.25	0.758	1.158	0.965	0.262	0.25	1.0	0	1
1	123	0.25	0.788	1.092	0.668	0.744	0.25	1.0	0	1
1	124	0.25	-0.847	0.1	-0.98	-0.199	0.25	1.0	0	21
1	125	0.25	-0.016	-1.74	-0.585	-0.811	0.25	1.0	0	11
1	126	0.25	-0.353	-0.189	-0.961	-0.277	0.25	1.0	0	33
1	127	0.25	-0.509	-0.981	0.693	-0.721	0.25	1.0	0	37
1	128	0.25	2.007	0.543	-0.908	0.419	0.25	1.0	0	26
1	129	0.25	2.002	-0.811	0.423	-0.906	0.25	1.0	0	14
1	130	0.25	1.26	-1.655	-0.401	-0.916	0.25	1.0	0	18
1	131	0.25	2.426	1.32	0.201	0.98	0.25	1.0	0	38
1	132	0.25	-2.073	2.492	0.962	0.274	0.25	1.0	0	28
1	133	0.25	0.789	1.103	0.693	0.721	0.25	1.0	0	1
1	134	0.25	0.868	1.174	-0.912	-0.41	0.25	1.0	0	1
1	135	0.25	-1.09	2.291	0.432	-0.902	0.25	1.0	0	22
1	136	0.25	1.006	0.087	-0.839	0.545	0.25	1.0	0	40
1	137	0.25	0.949	1.303	-0.584	-0.812	0.25	1.0	0	1
1	138	0.25	0.81	1.145	0.814	0.581	0.25	1.0	0	1
1	139	0.25	1.898	0.484	0.324	0.946	0.25	1.0	0	26
1	140	0.25	0.808	1.231	-0.117	0.993	0.25	1.0	0	1
1	141	0.25	-2.009	1.949	-0.714	0.7	0.25	1.0	0	9
1	142	0.25	0.997	1.275	-0.815	-0.58	0.25	1.0	0	1
1	143	0.25	-1.181	1.505	0.098	0.995	0.25	1.0	0	35
1	144	0.25	0.779	1.11	0.801	0.598	0.25	1.0	0	1
1	145	0.25	0.948	1.34	-0.371	-0.929	0.25	1.0	0	1
1	146	0.25	0.832	1.277	0.517	-0.856	0.25	1.0	0	1
1	147	0.25	0.851	0.252	-0.035	0.999	0.25	1.0	0	31
1	148	0.25	0.947	1.262	-0.604	-0.797	0.25	1.0	0	1
1	149	0.25	0.926	1.213	-0.911	-0.412	0.25	1.0	0	1
1	150	0.25	-0.967	2.366	-0.537	-0.844	0.25	1.0	0	39
1	151	0.25	0.852	1.209	-0.78	0.626	0.25	1.0	0	1
1	152	0.25	1.93	-2.497	0.899	0.438	0.25	1.0	0	27
1	153	0.25	-0.109	-2.478	0.879	-0.476	0.25	1.0	0	36
1	154	0.25	-0.986	0.174	-0.971	-0.239	0.25	1.0	0	21
1	155	0.25	-0.992	2.306	0.366	0.931	0.25	1.0	0	39
1	156	0.25	-1.093	1.879	0.92	0.392	0.25	1.0	0	22
1	157	0.25	-2.258	-1.917	-0.942	0.335	0.25	1.0	0	13
1	158	0.25	0.337	-1.002	0.812	0.583	0.25	1.0	0	20
1	159	0.25	0.815	1.263	0.663	-0.749	0.25	1.0	0	1
1	160	0.25	-0.315	0.288	0.705	0.71	0.25	1.0	0	33
1	161	0.25	1.65	0.28	-0.35	0.937	0.25	1.0	0	32
1	162	0.25	-2.422	-0.046	-0.464	-0.886	0.25	1.0	0	24
1	163	0.25	2.596	1.633	0.339	-0.941	0.25	1.0	0	7
1	164	0.25	-1.031	0.113	0.556	0.831	0.25	1.0	0	21
1	165	0.25	-1.217	-0.175	0.992	0.124	0.25	1.0	0	21
1	166	0.25	0.833	1.171	0.904	0.428	0.25	1.0	0	1
1	167	0.25	-0.54	2.295	0.676	-0.737	0.25	1.0	0	39
1	168	0.25	-1.89	-2.207	-0.926	0.377	0.25	1.0	0	34
1	169	0.25	2.13	-0.554	0.878	-0.478	0.25	1.0	0	14
1	170	0.25	0.817	1.112	0.593	0.805	0.25	1.0	0	1
1	171	0.25	1.531	-2.08	-0.777	-0.629	0.25	1.0	0	18
1	172	0.25	-1.832	-2.46	0.993	0.12	0.25	1.0	0	34
1	173	0.25	1.048	1.225	-0.998	0.06	0.25	1.0	0	1
1	174	0.25	-2.399	-1.89	0.999	0.053	0.25	1.0	0	13
1	175	0.25	2.078	-1.82	0.612	-0.791	0.25	1.0	0	5
1	176	0.25	0.93	1.277	-0.527	-0.85	0.25	1.0	0	1
1	177	0.25	-1.669	-2.208	-0.566	-0.824	0.25	1.0	0	34
1	178	0.25	0.951	1.303	-0.6	-0.8	0.25	1.0	0	1
1	179	0.25	0.787	1.111	0.764	0.646	0.25	1.0	0	1
1	180	0.25	1.663	-0.128	0.046	0.999	0.25	1.0	0	32
1	181	0.25	0.734	0.75	0.758	0.652	0.25	1.0	0	1
1	182	0.25	0.949	1.194	-0.983	-0.184	0.25	1.0	0	1
1	183	0.25	0.683	1.205	0.768	-0.641	0.25	1.0	0	1
1	184	0.25	-2.239	-1.962	-0.399	0.917	0.25	1.0	0	13
1	185	0.25	1.002	1.291	-0.734	-0.679	0.25	1.0	0	1
1	186	0.25	-2.516	-0.33	-0.394	0.919	0.25	1.0	0	24
1	187	0.25	-1.603	2.195	-0.487	0.873	0.25	1.0	0	9
1	188	0.25	-1.987	-2.485	-0.915	0.404	0.25	1.0	0	34
1	189	0.25	1.081	-0.208	-0.983	0.184	0.25	1.0	0	40
1	190	0.25	0.92	1.298	-0.368	-0.93	0.25	1.0	0	1
1	191	0.25	0.998	1.23	-1.0	0.03	0.25	1.0	0	1
1	192	0.25	-1.439	1.221	-0.581	0.814	0.25	1.0	0	35
1	193	0.25	1.026	1.18	-0.989	0.145	0.25	1.0	0	1
1	194	0.25	-1.811	-0.213	-0.694	-0.719	0.25	1.0	0	21
1	195	0.25	1.212	2.537	0.983	-0.181	0.25	1.0	0	8
1	196	0.25	-2.388	0.519	-0.819	0.574	0.25	1.0	0	25
1	197	0.25	0.819	1.762	0.707	-0.707	0.25	1.0	0	12
1	198	0.25	-2.226	-1.356	-0.144	0.99	0.25	1.0	0	0
1	199	0.25	0.795	1.065	-0.61	-0.793	0.25	1.0	0	1
1	200	0.25	2.064	1.611	0.931	0.366	0.25	1.0	0	38
