
% frame   10000
% time 999.901
% report fiber:force
% identity      posX      posY    forceX    forceY   tension
%   fiber f1:0001
        12     1.214    -0.212    -0.025    -0.014    -0.038
        12     1.240    -0.308    -0.063     0.033    -0.002
        12     1.266    -0.405     0.058     0.029    -0.002
        12     1.292    -0.502    -0.000     0.023     0.008
        12     1.318    -0.598    -0.016     0.046     0.044
        12     1.344    -0.695     0.041     0.014     0.035
        12     1.370    -0.791     0.041     0.032     0.043
        12     1.396    -0.888     0.021    -0.006     0.019
        12     1.421    -0.985     0.020     0.006     0.008
        12     1.447    -1.081     0.049     0.018     0.000
%   fiber f1:0013
        13     1.225     0.221    -0.014    -0.003     0.004
        13     1.233     0.121     0.019    -0.004     0.005
        13     1.241     0.021     0.026    -0.003     0.005
        13     1.248    -0.078     0.030     0.040     0.048
        13     1.256    -0.178    -0.036    -0.034     0.023
        13     1.264    -0.278    -0.009     0.032     0.062
        13     1.271    -0.378     0.006    -0.059     0.008
        13     1.279    -0.477    -0.036    -0.017    -0.000
        13     1.286    -0.577     0.032     0.018     0.021
        13     1.294    -0.677     0.038    -0.025    -0.001
        13     1.302    -0.776     0.006    -0.004     0.000
%   fiber f1:0014
        14     1.950    -2.233     0.014    -0.003     0.008
        14     1.909    -2.141    -0.037     0.016    -0.022
        14     1.869    -2.050     0.025    -0.017     0.003
        14     1.829    -1.958    -0.012     0.005    -0.007
        14     1.788    -1.867     0.016     0.018    -0.017
        14     1.748    -1.775     0.041     0.063    -0.059
        14     1.707    -1.684     0.058     0.027    -0.060
        14     1.667    -1.592     0.034     0.011    -0.057
        14     1.627    -1.501     0.026    -0.010    -0.038
        14     1.586    -1.409    -0.017    -0.021    -0.026
        14     1.546    -1.318     0.024    -0.019     0.000
%   fiber f1:0015
        15     1.276     0.169    -0.027     0.018     0.011
        15     1.286     0.069    -0.005     0.011     0.012
        15     1.296    -0.030    -0.025    -0.010    -0.006
        15     1.305    -0.130     0.025     0.015    -0.003
        15     1.315    -0.229     0.013    -0.017    -0.031
        15     1.324    -0.329     0.042     0.005    -0.041
        15     1.334    -0.428    -0.018     0.011    -0.038
        15     1.343    -0.528     0.050     0.050    -0.004
        15     1.353    -0.627    -0.013    -0.003    -0.015
        15     1.362    -0.727    -0.024     0.046     0.023
        15     1.372    -0.826     0.012    -0.011     0.000
%   fiber f1:0016
        16     1.144     0.170     0.025     0.020    -0.007
        16     1.127     0.268     0.017     0.014    -0.009
        16     1.110     0.367    -0.002     0.003    -0.003
        16     1.092     0.465     0.006    -0.005     0.011
        16     1.075     0.564    -0.022    -0.000     0.016
        16     1.057     0.662     0.038     0.009     0.023
        16     1.040     0.761     0.038     0.025     0.014
        16     1.023     0.859     0.017     0.006     0.020
        16     1.005     0.958    -0.021    -0.013     0.037
        16     0.988     1.056    -0.008     0.065    -0.019
        16     0.971     1.155     0.021    -0.007     0.000
%   fiber f1:0017
        17     1.661    -1.502     0.000     0.000     0.008
